CaseID,Activity,Timestamp,Axis_X,Axis_Y,Quadrant,Activity_Q,ActXPosition,Distance_명령값,Velocity,Accel,O2_ratio
8,Melting Layer(Poly),2023-10-14 09:30:09.087,3.43441772460938,-0.273330688476563,4.0,Melting Layer(Poly)_4,,,,,
8,Melting Layer(Poly),2023-10-14 09:30:09.087,-0.599533081054688,-2.60289001464844,3.0,Melting Layer(Poly)_3,,,,,
8,Melting Layer(Poly),2023-10-14 09:30:09.087,-2.98965454101563,-3.98268127441406,3.0,Melting Layer(Poly)_3,,,,,
8,Melting Layer(Poly),2023-10-14 09:30:09.087,-0.599853515625,3.26266479492188,2.0,Melting Layer(Poly)_2,,,,,
8,Melting Layer(Poly),2023-10-14 09:30:09.088,3.43441772460938,0.93310546875,1.0,Melting Layer(Poly)_1,,,,,
8,Melting Layer(Poly),2023-10-14 09:30:09.088,0.74468994140625,-1.82647705078125,4.0,Melting Layer(Poly)_4,,,,,
8,Melting Layer(Poly),2023-10-14 09:30:09.088,3.29054260253906,-0.12945556640625,4.0,Melting Layer(Poly)_4,,,,,
8,Melting Layer(Poly),2023-10-14 09:30:09.088,-1.94471740722656,4.03907775878906,2.0,Melting Layer(Poly)_2,,,,,
8,Melting Layer(Poly),2023-10-14 09:30:09.088,2.08955383300781,-1.04974365234375,4.0,Melting Layer(Poly)_4,,,,,
8,Melting Layer(Poly),2023-10-14 09:30:09.089,4.47999572753906,0.329727172851563,1.0,Melting Layer(Poly)_1,,,,,
8,Laser Layer 완료,2023-10-14 09:30:09.300,,,,,,,,,
9,Bulid,2023-10-14 09:30:09.485,,,,,0,180,800,3000,
9,Blade_1,2023-10-14 09:30:16.634,,,,,0,0,1000,4000,
9,Left,2023-10-14 09:30:17.504,,,,,0,100,800,3000,
9,Blade_2,2023-10-14 09:30:24.653,,,,,180,6400,1000,4000,
9,Melting Layer,2023-10-14 09:30:25.153,,,,,,,,,0.07
9,Melting Layer(Poly),2023-10-14 09:30:25.217,-2.98965454101563,4.64277648925781,2.0,Melting Layer(Poly)_2,,,,,
9,Melting Layer(Poly),2023-10-14 09:30:25.217,2.08955383300781,1.7098388671875,1.0,Melting Layer(Poly)_1,,,,,
9,Melting Layer(Poly),2023-10-14 09:30:25.217,-1.94439697265625,-3.37930297851563,3.0,Melting Layer(Poly)_3,,,,,
9,Melting Layer(Poly),2023-10-14 09:30:25.217,3.29054260253906,0.789230346679688,1.0,Melting Layer(Poly)_1,,,,,
9,Melting Layer(Poly),2023-10-14 09:30:25.217,0.74468994140625,2.48625183105469,1.0,Melting Layer(Poly)_1,,,,,
9,Melting Layer(Poly),2023-10-14 09:30:25.217,3.43441772460938,-0.273330688476563,4.0,Melting Layer(Poly)_4,,,,,
9,Melting Layer(Poly),2023-10-14 09:30:25.217,-0.599533081054688,-2.60289001464844,3.0,Melting Layer(Poly)_3,,,,,
9,Melting Layer(Poly),2023-10-14 09:30:25.217,-2.98965454101563,-3.98268127441406,3.0,Melting Layer(Poly)_3,,,,,
9,Melting Layer(Poly),2023-10-14 09:30:25.217,-0.599853515625,3.26266479492188,2.0,Melting Layer(Poly)_2,,,,,
